ID,Is_Lead
VBENBARO,0.169322
CCMEWNKY,0.8837835
VK3KGA9M,0.040590744
TT8RPZVC,0.034591082
SHQZEYTZ,0.03101059
MZZAQMPT,0.045177832
Y88TW36I,0.08910218
3UGOAQNU,0.056021288
VVUKMUJT,0.9947752
9R363ZXS,0.3299403
BLISM6JE,0.05611417
CH8S7JK7,0.18647526
EAHDPXEJ,0.84877974
BNUK9PRF,0.20835866
GP2PG6FJ,0.058581635
WNQCSN8A,0.0526977
32DN4YVZ,0.40412128
GXAMDANM,0.040574864
MXETLUP4,0.080594905
MPXK6TVE,0.82421136
LBSIME2K,0.23799469
D6ORJTM6,0.03591058
HGDIBAKA,0.8258058
UUZYL9DZ,0.29865462
AUGE3VWK,0.046179153
MX7GOX6Q,0.05465844
TQN6K35W,0.12803559
QQDRMQQN,0.5184246
UP6GC6F4,0.059192955
BMHBUVHB,0.48968995
KGLDW86A,0.17422405
FQEOMOP4,0.17681992
DYWM5MEU,0.20121886
DXHGXV8F,0.045209836
AVFBFQKC,0.1821163
DBIDKYMV,0.06254983
KYZHMEBY,0.17185788
SSFEBUGF,0.054191507
MGJTAG8X,0.52003336
MP6BERDO,0.15049903
GXZ8ED68,0.06162274
ICTFGWQR,0.7413389
EAYHTRKH,0.022332968
6FN97QLQ,0.1284552
3H5MZDDW,0.3961063
2DXZZWSN,0.022004249
MM4QIRE5,0.054931793
HJWVYXUA,0.20867509
RBRSJUP3,0.76980865
YFRQKGXW,0.5258235
N3SADEBV,0.042186365
G2A2YYXY,0.058891945
XMGA3WT3,0.02323851
KVZQPSGI,0.17270896
UAKARBBG,0.051089454
WYKKL85Z,0.1469464
GHNYYGRR,0.14594148
UBAJANWT,0.0601674
LSARSF7U,0.022763796
4CNSJVVR,0.10437993
JRHJSWYO,0.6590215
FHZ8SVVI,0.06925029
JUIRE47M,0.8863289
GDIVN2GL,0.07385218
WMF3DYE3,0.8193129
MAQEHEWK,0.19488542
2W8DLKFU,0.0634532
AKGRML6H,0.1537854
B7WUUGCY,0.06543009
TLJOYATM,0.48746508
UH6ZDM3W,0.8402728
7IP5SSRR,0.7875811
PV85PMEB,0.46863413
FGDOY4NI,0.13595983
7YYIXJQE,0.049376585
BHW42XPW,0.05315549
3PKEEAT4,0.2366072
ACFPZ3LM,0.054576438
6GORGNYN,0.8300152
AEPQTMJK,0.2688965
S6FNZFKK,0.04975309
JTYNEKRQ,0.83709997
GPXDPHHC,0.09890315
O8TMKNNB,0.026121946
XSQVHKYG,0.05340822
MJ3CZRAE,0.026899926
3NSQEYBJ,0.31796873
SXVBASGH,0.067982696
5ZIGZYSS,0.08058531
FQSHBCUT,0.25970268
MU45XUBP,0.07271489
BVULDPBI,0.05384198
82GRNPFG,0.7989897
KKBNELBF,0.06409263
HXQGBDGY,0.08073289
28HDZICG,0.5666887
GHBPKPJC,0.06238985
FDWZFSSC,0.91525656
FWTIWZF3,0.056445774
JYMHVPMY,0.029109119
AHUDO2T6,0.91661954
ACDHABS3,0.18759298
5NTYJJDV,0.10125966
2M4VPY4V,0.116535366
KAHP9XLF,0.08228424
YRLEWZFQ,0.085848965
JZWVLXHJ,0.27191907
JZZSXUKT,0.32158327
93RURE2J,0.86323154
4RNB6FDV,0.25709227
27E7HMMG,0.15582691
2QEFQQWN,0.06281558
DDTCD2XI,0.049245737
VGVEYSEG,0.8644989
WCXVE7RK,0.042391196
RTN4R3UE,0.05281619
K2PVS4RB,0.055615272
Q36J686Z,0.08548367
NWKHMEOF,0.124544546
PVJYQQGT,0.29282635
GPUMRNWC,0.05682493
LXHCDSVH,0.19690253
BNIUPSVK,0.05170572
FW3QI3WW,0.09486827
IEEUGXMY,0.9546996
FVVXDLBO,0.06391983
UC2JJB6Y,0.052330982
3WPAHP52,0.48501042
HDTCJJOE,0.53260756
UCSB9GKK,0.088644594
HANBFYTH,0.14163537
FLUU2HNV,0.056445774
64PIYWDJ,0.12424413
9AHNH8ZX,0.7881102
KLHUI2SE,0.026936965
YRHYUJFW,0.81343144
G5RWWH7F,0.23978205
SCBT9BAX,0.0294449
UGZGLVNB,0.18781368
2RRNUFBV,0.78751653
B6O59TEY,0.46476874
CYHRRYH6,0.044424213
GGYZVHWU,0.055818304
K6AM97RN,0.05766026
ATM5JQYM,0.058781613
7GYZSGWA,0.05404671
DFWUDQCR,0.15906842
E2Z98CR3,0.8459257
GD9KTSLY,0.057441853
2AMRA4OD,0.14942941
CFHZ3ZE6,0.34206635
BOMLVM5K,0.059874043
OBBEGBSY,0.5877319
FJEHOK8W,0.050351318
3GMAEVPJ,0.12625274
WAVDLUTH,0.061664525
6EN8GZX6,0.10967262
VXGA3GKB,0.23598798
U4MZ3U8C,0.4835068
GU4RDP8S,0.85567474
N3TPNHCD,0.14912194
JRRHWQC8,0.5370716
NZ5GBHZK,0.02890182
LCUC2LAJ,0.7962126
DJDSU9D2,0.76871496
647K6DBR,0.04631471
7NFXVESK,0.065853775
EWUWF25N,0.05794178
7QKYPLA8,0.04316129
XQVXWBNO,0.06322817
CNWH4MVA,0.053510863
AFJUJFQD,0.054855675
QKMFDX9H,0.21567401
YYMB5QBY,0.05078585
IRY3SEX7,0.18685633
CUAUZJH8,0.16861098
JYFUYQF5,0.28710315
I4NYEDFE,0.34051523
M3RSPRGQ,0.12928252
JIL3KWQN,0.09381874
X4B5ZBWU,0.1217774
AHYTHHSE,0.056237888
E7EHQEQK,0.1393374
FAMHAVN3,0.85959744
CCGKCTR6,0.046243504
6DTSELRV,0.07150204
LU8X3G6O,0.2400229
NPFDAUJY,0.06367912
DR9PXCFU,0.023127936
SHVZMWBV,0.021768816
8TGXGZHX,0.22013614
IKRSHJFW,0.14789325
TYKRZDCP,0.54664344
9IDA3L7P,0.12029708
ASOWCMDB,0.07062315
KZ5J2JGC,0.8703254
D5UCFKTV,0.04645615
2N8FFP7W,0.054974552
SA36MTFS,0.022332968
8UDMURUH,0.1740096
7VSQV6QN,0.11370128
IFUG9NC5,0.046040718
EQXDLQRG,0.12045304
JAR8YY9J,0.21077093
BS4TAF6M,0.060219936
WQJ9SPT9,0.8900444
7QHT4ON2,0.05110938
FNGPQN7B,0.0977252
DDOMDZRU,0.5462115
QYR9HXHP,0.3354533
S4NGXFXY,0.048015885
NOJ2KSCC,0.80236936
ZD2JRUNB,0.5736359
GZIPTSNN,0.13470802
LCFYUVE9,0.83463204
PPANVU9W,0.050824307
DRPV9STB,0.05529544
AFSPF3WZ,0.9767894
GPXEUNND,0.88947195
NSADMDSM,0.057300802
CKWJU8RQ,0.49477935
F7MNZSSU,0.05400304
BDGVMPZY,0.49850127
IA3MSRTR,0.048926994
JD3WTPMG,0.27188843
QT6DF6EW,0.8468252
NVDEMCZ2,0.070473105
9B6UTJVT,0.07471514
U6QYES9J,0.05834778
DZQPDSPS,0.18806417
CRGXVSBF,0.7865939
XIHJYS2V,0.40296137
7X2MC5GZ,0.8417044
ZBDVXTM5,0.0478392
UUBQPBR5,0.06258124
CUMZFBTD,0.15615833
E7QXYSQN,0.02926208
6UQAJP48,0.11283229
QHWB768Y,0.058031432
R6RXMXOJ,0.1806245
WXQGZG5K,0.05587607
GCUFKLHG,0.053387377
SJX4372M,0.055327497
VGEAMUZZ,0.14163537
ZWDXVKDF,0.85261554
WGMRCYLR,0.04569972
SI43K5CY,0.13988222
DSNBS2RS,0.21842375
XIMZCKSR,0.41757768
VEW9FXHT,0.017284771
JZJHDDDJ,0.31601703
4TYUR5HA,0.39785504
UHCDFDRX,0.3632855
E5QMOFUM,0.14582027
PSNVWDZH,0.06589399
5IQSWONG,0.113287956
CEAZEPY4,0.99473464
2TNRJXRX,0.027357426
BFROCARA,0.08072965
GRTJMRKM,0.024769641
6EDAM4EU,0.08399274
NRDB58KL,0.058675222
TCPJCWZR,0.02635872
KG8LD2BE,0.049824554
FHZ3XFDV,0.16412689
NZKCSDZ4,0.29568392
6DG6KJG4,0.058031432
BVPKDUNU,0.12596808
APR4PQ6X,0.18505712
HPWS8YFG,0.15702574
VRPBGTPU,0.06390171
XBCSX7G7,0.14413339
KEH3G8UA,0.089021906
WXNAVFLT,0.07177462
8J8NJ7M6,0.1507246
D4UW7Y85,0.06587367
SZRESXN7,0.045915585
UUQSXK5T,0.054944087
GPMUKOVY,0.29151374
6FYOKAZ5,0.13284613
ENUB4N9S,0.18142572
KERBCSGE,0.98226583
7HTA4C6J,0.68444765
4BTVMT6W,0.06934595
MR3J9USD,0.19341366
7S83FNQW,0.6790849
MSOKLC7S,0.022275528
GFMNATHU,0.051608052
NG4ABA6H,0.50295603
3GFHRAQY,0.22882506
BCSGZZPE,0.2046131
PQ9MCGZC,0.061584722
K7N596CG,0.12077917
8RUL6JEE,0.047320377
CVOFJRMP,0.057606027
B4FQX4HG,0.14692713
W7HAQKDV,0.046438634
8C5PKJ7G,0.06795857
E4GQJZSQ,0.046259638
UENREGNV,0.941271
CC4LYHEW,0.8718372
GDKGLTBT,0.055104133
G3ER8CGX,0.059671704
ZG4KT59X,0.024087526
LW93KJMZ,0.40365848
9AR5FBSQ,0.38093722
FHLWDMRV,0.14303763
EON5DCWD,0.9841366
J8UXTMYV,0.14356704
IXBW5HZH,0.062434386
LDHQB458,0.02885885
GNHTIKF3,0.047519043
8NO22KTE,0.022763796
SGJFSSJK,0.17262875
TD8D3NDD,0.06375451
8RQ27JGU,0.8162937
A8GKBMBO,0.84322536
ODVMNUDE,0.47553465
EA5CRL7L,0.054636087
6UI7RPCH,0.22985631
7BJYM94L,0.057185575
X3PZJF7F,0.48804334
YCSSMPV7,0.48483458
4EV9VXL8,0.60750264
IPNJFQTY,0.16909812
XPWNJRJC,0.07730405
3WHNSBRB,0.16230825
U245YKM8,0.05178559
68EFFKBB,0.83226585
NEUII7AB,0.8423175
F7CSLYWT,0.056851093
5EOMOZHG,0.17805319
6CYUTUFN,0.38334787
K7YUC8LF,0.22642271
LSMCXMXA,0.040585935
AALPBPBP,0.054156557
ZPX6VOH2,0.06885126
CDBFWQGM,0.106071115
JUQ76NJV,0.8851386
QHE7UULR,0.06406206
JRMNMZJA,0.040690552
GZ4EZZFX,0.2193429
9L9JFIAR,0.59347016
GTOE4RN4,0.28921926
CUYE7ST4,0.2795527
FFM6DHEA,0.8403487
5XUK7XLZ,0.50695175
4HTGJEEZ,0.060927857
RWYBAMRG,0.16342856
RQZGBGGN,0.70664
ITVSUTU9,0.19913916
6UMDX7NQ,0.5588669
4IVKAFYY,0.46654496
ZKYOSQEU,0.55192184
9JYXIDL4,0.9904331
XNURWQBT,0.04582855
HVNIJFQC,0.06018497
CGGVBJKZ,0.994779
JO9DV3NY,0.91455835
EYENUQR9,0.33821008
FPU4ZI8H,0.028882358
2MALVTY4,0.33249912
QN4REV7D,0.04952911
27F5ZEQA,0.08949267
MKJUE4K2,0.07886914
4ECWF4DN,0.05707821
KWBJAQMY,0.06742279
3YAW8OEY,0.16873054
ZHHFH7H9,0.9470366
BO2822VM,0.14065634
NQZUPVUA,0.062095888
MUT2PZ7T,0.40904015
2MFKPCPS,0.81152225
4RLVOVMJ,0.48872894
JISGN7XF,0.057149272
NNOFHDAC,0.054286
ODE23CPW,0.018126843
ZNTYNFME,0.19965033
NQM48VKU,0.18728457
DGVBCYY7,0.017461903
9F38NUKC,0.15160806
3Z7KCIZS,0.05036718
ERAX3STD,0.0482872
N9TCDYYG,0.059273437
R4UMWUZK,0.05724412
CPERTJBJ,0.15618156
4XK5BMA9,0.13787964
2PKDM5B2,0.121088415
SW5GTHZN,0.40025675
ATJAEQCJ,0.041017294
NHNXBSFY,0.20611171
NRGYTYZJ,0.1775734
UZNABWAT,0.054944087
CVP3VZN5,0.065311216
JEAYZXKC,0.055668436
87LFEVTZ,0.30666944
N7ZEJ2CQ,0.05931092
AQT3ADAP,0.0554978
WC8ROKF8,0.047947142
D9HWEXEV,0.056584753
MMHWGZCN,0.060812946
YKCAQFHU,0.5095621
NDPFBA9X,0.37548405
3T6C7AEA,0.2132104
GZWB38J9,0.07214626
OFTXYNYQ,0.057841346
QYZQIXBJ,0.30183253
N7PJT5HO,0.1107082
JP2PNX9X,0.15996188
N3FUZDIH,0.058751713
UXKAVBLS,0.026343266
G24JWDKS,0.05548812
HQOKKQVX,0.14582704
HTXFVZZG,0.07839241
3TJKVA4J,0.052649353
CRGS7FPX,0.03748993
BTRJTMR3,0.19921792
ERLPQML7,0.03319891
9FDFXYAW,0.5625129
